date,SPY,TLT,GLD,GSG
2023-05-02,410.83958908383994,95.6009228467205,187.52000000000004,19.15999984741211
2023-05-03,408.02042604126,96.13455506416803,189.11,18.690000534057617
2023-05-04,405.12934557412,95.18487423504676,190.44,18.799999237060547
2023-05-05,412.6303329552799,94.8683162588218,187.46,19.260000228881836
2023-05-08,412.73923648389,93.5387658582306,187.69,19.520000457763672
2023-05-09,410.93102695220995,93.20412181212694,189.02,19.579999923706055
2023-05-10,412.85122218784005,94.1085771158819,188.75,19.469999313354492
2023-05-11,412.13102055051,95.10347656992307,187.13,19.149999618530273
2023-05-12,411.588557691,94.30755148633305,186.81,19.030000686645508
2023-05-15,413.00944052187,93.33074500261692,187.21,19.31999969482422
2023-05-16,410.24986620249,93.05035916614936,184.87,19.1200008392334
2023-05-17,415.23066154886,92.77902671529068,184.23,19.43000030517578
2023-05-18,419.23029774593,92.09163875231194,181.84,19.290000915527344
2023-05-19,418.62105442077,91.44042982953694,183.64000000000001,19.25
2023-05-22,418.7885192808,91.11482536814945,183.21,19.239999771118164
2023-05-23,414.09025667376,91.37711823429196,183.42999999999998,19.31999969482422
2023-05-24,411.09027267801,90.92489058241449,181.95,19.459999084472656
2023-05-25,414.65018519352,90.69877675647575,180.20000000000002,19.149999618530273
2023-05-26,420.02036202427,91.43138334437442,180.92,19.3700008392334
2023-05-30,420.17960775007,92.34488513329191,182.04,18.860000610351562
2023-05-31,417.84948319446,93.14984980159812,182.32,18.670000076293945
2023-06-01,421.82035242172,93.51531846875176,183.76,19.0
2023-06-02,427.91895002404,92.49056319651669,181.05000000000004,19.360000610351562
2023-06-05,427.10011877588,92.31826466199908,182.13999999999996,19.329999923706055
2023-06-06,428.02990833621004,92.8623787707437,182.34,19.3700008392334
2023-06-07,426.55046417392,91.48394898188532,180.15,19.510000228881836
2023-06-08,429.13024493191,92.55404306055712,182.53000000000003,19.43000030517578
2023-06-09,429.89976137465993,92.42708333247624,182.04,19.31999969482422
2023-06-12,433.79974056913,92.6991438462417,181.87999999999997,18.920000076293945
2023-06-13,436.6610266746699,91.78321416327003,180.54,19.280000686645508
2023-06-14,437.17985952324995,92.51776786413598,180.64,19.229999542236328
2023-06-15,442.60140594297,93.40649287948833,181.91,19.75
2023-06-16,439.46040253717,93.04374783406315,181.63,20.030000686645508
2023-06-20,437.18087052717,93.68761700326935,179.75,19.84000015258789
2023-06-21,434.94023488734007,93.9143317918118,179.49,20.170000076293945
2023-06-22,436.51041993598994,92.78075784909956,177.71,19.700000762939453
2023-06-23,433.21037000324,93.70575806087307,178.2,19.530000686645508
2023-06-26,431.43853798289,93.80551312133463,178.51,19.600000381469727
2023-06-27,436.1705884913,93.5606572751885,177.68999999999997,19.229999542236328
2023-06-28,436.39066005940003,93.95967751703482,177.28,19.260000228881836
