Date,Open,High,Low,Close,Adj Close,Volume
2015-08-03,17.752666,18.066668,15.741333,16.167334,16.167334,462262500
2015-08-10,15.876667,16.528667,15.516000,16.209999,16.209999,318492000
2015-08-17,17.037333,17.396667,15.367333,15.384667,15.384667,397080000
2015-08-24,13.519333,16.763332,13.000000,16.565332,16.565332,480624000
2015-08-31,16.374666,16.996668,15.798000,16.128668,16.128668,340023000
2015-09-07,16.336666,16.950001,16.270000,16.682667,16.682667,173832000
2015-09-14,16.740000,17.700001,16.633333,17.374666,17.374666,263856000
2015-09-21,17.598667,18.104668,17.053333,17.127333,17.127333,294105000
2015-09-28,17.156668,17.319332,15.662000,16.504667,16.504667,337963500
2015-10-05,16.589333,16.656000,14.557333,14.712667,14.712667,420310500
2015-10-12,14.866000,15.365333,14.075333,15.134000,15.134000,289363500
2015-10-19,15.100000,15.410000,13.466667,13.939333,13.939333,429301500
2015-10-26,14.092000,14.473333,13.592667,13.795333,13.795333,238249500
2015-11-02,13.928000,15.638667,13.814667,15.490667,15.490667,478933500
2015-11-09,15.532667,15.532667,13.768000,13.812667,13.812667,272428500
2015-11-16,13.739333,15.079333,13.720000,14.667333,14.667333,221866500
2015-11-23,14.490000,15.483333,14.312000,15.440667,15.440667,164200500
2015-11-30,15.452667,15.906667,15.177333,15.358667,15.358667,223327500
2015-12-07,15.180000,15.708667,14.442667,14.468000,14.468000,213450000
2015-12-14,14.500667,15.850667,14.324667,15.364000,15.364000,247329000
2015-12-21,15.446000,15.770000,15.208667,15.371333,15.371333,92665500
2015-12-28,15.432667,16.242001,15.036000,16.000668,16.000668,160807500
2016-01-04,15.381333,15.425333,14.051333,14.066667,14.066667,314631000
2016-01-11,14.267333,14.296667,12.892000,13.666000,13.666000,350685000
2016-01-18,13.914000,14.031333,12.750000,13.503333,13.503333,242514000
2016-01-25,13.337333,13.571333,12.160667,12.746667,12.746667,280878000
2016-02-01,12.584000,13.301333,10.516000,10.840000,10.840000,492384000
2016-02-08,10.473333,10.884000,9.403333,10.069333,10.069333,747889500
2016-02-15,10.580000,11.530000,10.274000,11.105333,11.105333,273990000
2016-02-22,11.341333,12.800000,11.189333,12.689333,12.689333,423838500
2016-02-29,12.826667,13.602000,12.100000,13.402667,13.402667,410875500
2016-03-07,13.178667,14.219333,13.160000,13.833333,13.833333,318784500
