date,DGS5,DGS30,spread,spread_EWM(1),spread_EWM(10),spread_EWM(20),spread_EWM(50),spread_EWM(100),spread_EWM(200),spread_EWM(500),spread_EWM(1000)
1997-07-08,0.0617,0.0659,-0.004200000000000002,-0.004173546981573986,-0.003998437870608485,-0.003922346654959936,-0.004096308266360425,-0.004429569563874392,-0.005111741676647554,-0.006385006083027435,-0.006170360500079571
1997-07-09,0.061500000000000006,0.06559999999999999,-0.004099999999999986,-0.004134321924729649,-0.004005690197828173,-0.003928696714412408,-0.004096361340794615,-0.0044271936186960495,-0.005108091714736789,-0.006381703507326673,-0.006168825386025973
1997-07-10,0.061500000000000006,0.06559999999999999,-0.004099999999999986,-0.004116607382932629,-0.004012394878365537,-0.003934809524525258,-0.004096413620348827,-0.004424835513787549,-0.005104455458114799,-0.006378405902745995,-0.006167291484709938
1997-07-11,0.0613,0.0653,-0.003999999999999997,-0.004057378236044461,-0.004011517320604199,-0.003937132026921112,-0.004095029199393791,-0.004421774614541019,-0.005100472197659607,-0.006374968746089889,-0.00616568465507556
1997-07-14,0.0616,0.0655,-0.0039000000000000007,-0.003978069518666562,-0.004003652038744528,-0.003935811210313601,-0.004092230395733571,-0.004418016396038024,-0.005096143284682899,-0.006371392255440862,-0.006164004958210352
1997-07-15,0.0616,0.0655,-0.0039000000000000007,-0.0039388816818454134,-0.003996367445436159,-0.003934539293201719,-0.004089473365275683,-0.0044142863484147145,-0.00509183061262365,-0.006367821146359393,-0.0061623265879404455
1997-07-16,0.0611,0.06480000000000001,-0.003700000000000009,-0.0038192071015075535,-0.003975607709578434,-0.003926221184658678,-0.00408389062263788,-0.0044091445394906,-0.005086813124861858,-0.006363966431634955,-0.006160501284676212
1997-07-17,0.0611,0.0649,-0.003799999999999998,-0.0038095941631186123,-0.003963344639425173,-0.003921750925097866,-0.004079823616669366,-0.004404760872364106,-0.005082174894053057,-0.006360261996438224,-0.006158751548366732
1997-07-18,0.0616,0.0652,-0.003599999999999992,-0.0037047458861114496,-0.003938043980027434,-0.0039103711587234954,-0.004072953520368579,-0.004398971138453527,-0.005076833267877901,-0.006356274189311518,-0.006156854949511081
1997-07-21,0.061799999999999994,0.0655,-0.003700000000000009,-0.0037023723635824543,-0.0039215124084610075,-0.003902940393502054,-0.00406761652494792,-0.004393943935293573,-0.005071871998816151,-0.006352436843389821,-0.006155033966471441
1997-07-22,0.060700000000000004,0.0643,-0.003599999999999992,-0.003651179932715178,-0.0038992394080473187,-0.003892253331925959,-0.004060928524334729,-0.0043882352859729214,-0.005066569029808778,-0.006348460813341051,-0.006153140306078271
1997-07-23,0.060599999999999994,0.0642,-0.003599999999999999,-0.0036255884043746548,-0.0038785571347531023,-0.003881955788290271,-0.004054339702811356,-0.004382569285217086,-0.005061285922935217,-0.006344490761949966,-0.006151248140450739
1997-07-24,0.060599999999999994,0.0643,-0.003700000000000002,-0.0036627953376528236,-0.0038662424205068747,-0.00387555207845098,-0.00404927720324119,-0.004377664210744334,-0.005056382782808633,-0.00634067111735982,-0.006149431576007372
1997-07-25,0.0608,0.0645,-0.003700000000000002,-0.0036813979526797917,-0.0038547999219231657,-0.0038693807135333886,-0.0040442896250373,-0.004372795741867304,-0.005051497997193545,-0.006336857214969628,-0.006147616445214188
1997-07-28,0.060599999999999994,0.0643,-0.003700000000000002,-0.0036906990473016175,-0.0038441648279603506,-0.00386343278247311,-0.004039375785955383,-0.004367963585989025,-0.005046631492391551,-0.006333049045496997,-0.006145802746810209
1997-07-29,0.06,0.0638,-0.003799999999999998,-0.003745349732126626,-0.003841135863278422,-0.00386120763367692,-0.0040359610439008155,-0.004363885476231323,-0.005042143226520777,-0.006329391011943524,-0.006144064576569001
1997-07-30,0.059500000000000004,0.0633,-0.003799999999999991,-0.0037726749181819647,-0.00383831918690318,-0.0038590627179964985,-0.004032596688912217,-0.004359837752165241,-0.005037671748410249,-0.0063257384757673535,-0.006142327777736699
1997-07-31,0.059000000000000004,0.063,-0.003999999999999997,-0.0038863375674881304,-0.0038493732381744555,-0.0038639967879185895,-0.004032132150219237,-0.004357255437641646,-0.005033936851677838,-0.00632238021868969,-0.006140740528935018
1997-08-01,0.0608,0.0646,-0.0038000000000000048,-0.0038431687631595773,-0.0038460023379808857,-0.0038617584418263263,-0.004028825611313881,-0.004353257463380078,-0.005029496156826291,-0.006318738233664944,-0.006139006359523684
1997-08-04,0.061200000000000004,0.06480000000000001,-0.003600000000000006,-0.0037215843525918095,-0.003829228735707448,-0.0038526115454976355,-0.004022720241338587,-0.004347854733858267,-0.005024352398004008,-0.006314812963276052,-0.006137125392383772
1997-08-05,0.0613,0.0649,-0.003599999999999999,-0.003660792169048911,-0.003813617846597095,-0.003843792043018291,-0.004016704624158697,-0.004342492176329536,-0.005019227858059964,-0.0063108935892164765,-0.006135245908783902
1997-08-06,0.0611,0.06480000000000001,-0.003700000000000009,-0.0036803960856929443,-0.0038058890375050397,-0.0038387760501209546,-0.004012199774190467,-0.004337886341914402,-0.005014482190762906,-0.006307124463490255,-0.006133441983128877
1997-08-07,0.061399999999999996,0.06509999999999999,-0.003699999999999995,-0.003690198043138591,-0.0037986935874758866,-0.0038339389997529665,-0.004007761029628204,-0.004333314719442092,-0.005009754245508416,-0.00630336099827103,-0.006131639479994464
1997-08-08,0.0623,0.0664,-0.0040999999999999995,-0.0038950990246225574,-0.003819148020662148,-0.003843205243885202,-0.004009071859942188,-0.004331643026205327,-0.005006482479041413,-0.006300180563259346,-0.006130134672620576
1997-08-11,0.062,0.0664,-0.004400000000000001,-0.004147549514192182,-0.0038585434371555026,-0.003862582221942217,-0.0040146249689958545,-0.0043321326758829345,-0.005004301672445026,-0.006297437912547192,-0.006128853246929333
1997-08-12,0.0622,0.0666,-0.004400000000000008,-0.004273774757566321,-0.003895235491886264,-0.0038812710844252935,-0.004020096801799617,-0.004332618693900707,-0.005002129003333801,-0.006294699379391351,-0.006127572831459032
1997-08-13,0.061900000000000004,0.0664,-0.004499999999999997,-0.0043868873789938475,-0.003936184942567376,-0.0039027722650271145,-0.004026907875264074,-0.004333817056895809,-0.0050003239243319305,-0.006292109276734561,-0.00612636748333715
1997-08-14,0.0613,0.06559999999999999,-0.004299999999999991,-0.00434344368945646,-0.003960801044961391,-0.00391656667869813,-0.004030782114448471,-0.0043335750053680715,-0.004997806704211055,-0.006289234439281168,-0.0061250149763216015
1997-08-15,0.061,0.06570000000000001,-0.00470000000000001,-0.004521721844811252,-0.004010781321910077,-0.003943754716226997,-0.004040272038659411,-0.00433619710068996,-0.004996736422171428,-0.0062869411279757445,-0.006123959739103317
1997-08-18,0.060599999999999994,0.0653,-0.004700000000000003,-0.004610860922426382,-0.004057352091226667,-0.003969982441579352,-0.004049623524672113,-0.004338799786140276,-0.0049956701296359676,-0.006284651258099089,-0.0061229053334906835
1997-08-19,0.060700000000000004,0.06509999999999999,-0.004399999999999987,-0.004505430461200911,-0.004080490979900727,-0.003984886889626417,-0.004054588004529641,-0.004339237511171755,-0.004993529934904577,-0.0062819319653336985,-0.006121629627025694
1997-08-20,0.061,0.0654,-0.004400000000000001,-0.004452715230597388,-0.004102055175219638,-0.003999266172034139,-0.0040594801775885505,-0.004339671999062761,-0.004991397713694089,-0.006279216752336674,-0.0061203549257328555
1997-08-21,0.061500000000000006,0.066,-0.004499999999999997,-0.004476357615299381,-0.004128899049708415,-0.004016601326570082,-0.004065716921385286,-0.004340818160892231,-0.00498963263068485,-0.006276649882206363,-0.006119155265604108
1997-08-22,0.0621,0.0667,-0.004599999999999993,-0.0045381788076505865,-0.004160662223150896,-0.004036787076872063,-0.004073278184560593,-0.004342670567517818,-0.004988233269246867,-0.006274231123707476,-0.006118030583919181
1997-08-25,0.0625,0.0667,-0.004199999999999995,-0.004369089403824061,-0.004163313295653465,-0.004042431259062159,-0.004075070882855022,-0.0043416511265294095,-0.004985402710798447,-0.006271238980355923,-0.006116610668776104
1997-08-26,0.062400000000000004,0.0666,-0.004200000000000002,-0.004284544701911724,-0.004165784654031119,-0.004047877434435177,-0.004076837550024718,-0.0043406392106234756,-0.0049825826871413,-0.006268251324151073,-0.006115191872032938
1997-08-27,0.0623,0.0666,-0.004300000000000005,-0.0042922723509558796,-0.004174822332426082,-0.0040565873936932164,-0.004079992189736531,-0.004340348964065174,-0.00498013216393765,-0.006265412384514268,-0.006113848215544492
1997-08-28,0.061799999999999994,0.06570000000000001,-0.0039000000000000146,-0.004096136175477769,-0.004156323427950683,-0.004051180453698568,-0.004077448745740696,-0.004337204714917798,-0.0049762549135544095,-0.006262000787668485,-0.006112209539872108
1997-08-29,0.0622,0.0661,-0.0039000000000000076,-0.0039980680877388436,-0.004139075680337428,-0.004045962647015228,-0.004074942154091305,-0.0043340836435857245,-0.004972392082644385,-0.006258594305314945,-0.006110572154562439
1997-09-02,0.062,0.0658,-0.003799999999999998,-0.003866022695912926,-0.0041147473571101385,-0.0040371888105154505,-0.00407100636921852,-0.004330245541840033,-0.004968170192088024,-0.006255043805690006,-0.006108860861259909
1997-09-03,0.0621,0.066,-0.0039000000000000007,-0.0038854382982483984,-0.0040994127892043,-0.004032302946286958,-0.0040685597604572955,-0.0043271545169035865,-0.004964324157693504,-0.006251643045087165,-0.006107224977099091
1997-09-04,0.0622,0.0661,-0.0039000000000000076,-0.0038932045391825904,-0.0040852361750421265,-0.004027598382381712,-0.004066149456765476,-0.004324086548187541,-0.004960492510929026,-0.006248247394615425,-0.006105590382435467
